"","fips","state","state_abr","county","population","theme1","theme2","theme3","theme4","theme_all","sfr_count1","sfr_count2","avg_temp","max_temp","id","avg_precip","hsa_value","rucc_value","rucc_description","vcas_value","dog_pop","dog_pop_ratio","rate_sfr1","rate_sfr1_1000","rate_sfr2","rate_sfr2_1000","sfr_count_total","rate_sfr_total","rate_sfr_total_1000","population_sd","dog_pop_sd"
"1",35039,"New Mexico","NM","Rio Arriba",39307,NA,0.8758,0.9268,0.5409,NA,0,0,47,61.4,"NM-039",15.2966666666667,1,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",100,12759.89366,0.324621407382909,0,0,0,0,0,0,0,0.00388247119464842,0.00563856255799414
"2",1001,"Alabama","AL","Autauga",55200,0.3631,0.581,0.5947,0.3741,0.4354,10,3,65.9,77.6,"AL-001",61.2933333333333,2,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",64.57528958,20947.59242,0.379485369927536,0.000181159420289855,0.181159420289855,5.43478260869565e-05,0.0543478260869565,13,0.000235507246376812,0.235507246376812,0.00545635500274808,0.00926548494850802
"3",1009,"Alabama","AL","Blount",57645,0.6143,0.3187,0.5915,0.1741,0.4242,26,7,63.2,73.6,"AL-009",52.7666666666667,2,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",42.62242268,21677.27602,0.376047810217712,0.000451036516610287,0.451036516610287,0.000121432908318154,0.121432908318154,33,0.000572469424928441,0.572469424928441,0.00569848335553256,0.00958871444978864
"4",1013,"Alabama","AL","Butler",20025,0.8455,0.9077,0.6447,0.6259,0.8653,5,1,66.5,78.2,"AL-013",62.35,2,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",14.89361702,8114.551116,0.405221029513109,0.000249687890137328,0.249687890137328,4.99375780274657e-05,0.0499375780274657,6,0.000299625468164794,0.299625468164794,0.00197297471268921,0.00358080525911175
"5",1015,"Alabama","AL","Calhoun",115098,0.7866,0.8303,0.6507,0.6492,0.8252,55,37,63.6,75.2,"AL-015",50.3166666666667,1,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",45.27571751,45357.75848,0.394079466889086,0.000477853655146049,0.477853655146049,0.000321465186189161,0.321465186189161,92,0.00079931884133521,0.79931884133521,0.0113880540109626,0.0200785082941759
"6",1017,"Alabama","AL","Chambers",33826,0.6901,0.6609,0.4597,0.7943,0.7382,5,1,63.6,75.5,"AL-017",55.3166666666667,2,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",42.80645161,13548.05298,0.400521876071661,0.000147815290013599,0.147815290013599,2.95630580027198e-05,0.0295630580027198,6,0.000177378348016319,0.177378348016319,0.00333968775840641,0.00598769517373783
"7",1031,"Alabama","AL","Coffee",51288,0.5373,0.8067,0.7256,0.1923,0.5408,7,3,67.2,78.9,"AL-031",62.9233333333333,2,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",32.91302942,20259.96833,0.395023559702075,0.000136484167836531,0.136484167836531,5.84932147870847e-05,0.0584932147870847,10,0.000194977382623616,0.194977382623616,0.00506894963829292,0.00896088663811808
"8",1033,"Alabama","AL","Colbert",54495,0.6519,0.6858,0.397,0.1025,0.4274,49,19,62,73.6,"AL-033",54.3033333333333,2,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",61.7076326,22834.40162,0.419018288283329,0.000899165061014772,0.899165061014772,0.00034865583998532,0.34865583998532,68,0.00124782090100009,1.24782090100009,0.0053865388519452,0.010101288845879
"9",1039,"Alabama","AL","Covington",37351,0.8232,0.908,0.3941,0.4702,0.7723,5,3,67.2,78.8,"AL-039",63.4866666666667,1,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",48.8831337,15019.15771,0.402108583705925,0.000133865224491981,0.133865224491981,8.03191346951889e-05,0.0803191346951889,8,0.00021418435918717,0.21418435918717,0.00368876851242084,0.00663935357500855
"10",1043,"Alabama","AL","Cullman",82313,0.6895,0.4444,0.3305,0.3945,0.5182,89,36,62.6,72.9,"AL-043",54.6533333333333,2,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",62.09912536,32650.89571,0.396667545952644,0.00108123868647723,1.08123868647723,0.000437354974305395,0.437354974305395,125,0.00151859366078262,1.51859366078262,0.00814135542362559,0.0144497221792236
"11",1045,"Alabama","AL","Dale",49255,0.779,0.7463,0.6772,0.455,0.7599,4,0,67.5,78.9,"AL-045",60.95,2,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",39.69539857,19702.43529,0.400008837478429,8.12100294386357e-05,0.0812100294386357,0,0,4,8.12100294386357e-05,0.0812100294386357,0.00486762164597765,0.00871391503773311
"12",1051,"Alabama","AL","Elmore",81212,0.4911,0.5422,0.581,0.5177,0.5401,10,2,65.9,77.5,"AL-051",59.72,2,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",79.6302303,29641.1954,0.364985413485692,0.000123134512141063,0.123134512141063,2.46269024282126e-05,0.0246269024282126,12,0.000147761414569275,0.147761414569275,0.00803232339237172,0.0131165088108466
"13",1055,"Alabama","AL","Etowah",102939,0.7169,0.7587,0.6396,0.2904,0.6564,23,10,63.3,74.1,"AL-055",52.0833333333333,2,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",37.94222655,40698.93411,0.395369433450879,0.000223433295446818,0.223433295446818,9.71449110638339e-05,0.0971449110638339,33,0.000320578206510652,0.320578206510652,0.0101839482271154,0.0180147789220629
"14",1067,"Alabama","AL","Henry",17124,0.6971,0.6374,0.4725,0.2713,0.5519,NA,0,67.6,78.9,"AL-067",55.64,2,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",51.96747967,7051.325819,0.411780297769213,NA,NA,0,0,NA,NA,NA,0.00168568867938542,0.00310982608060445
"15",1069,"Alabama","AL","Houston",104352,0.6943,0.8542,0.5938,0.3502,0.6838,3,0,68.4,79.6,"AL-069",61.2733333333333,1,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",50.48796357,41768.02818,0.400260926287949,2.87488500459982e-05,0.0287488500459982,0,0,3,2.87488500459982e-05,0.0287488500459982,0.0103238776187246,0.0184883578034688
"16",1071,"Alabama","AL","Jackson",52094,0.7927,0.5635,0.3126,0.3231,0.5726,77,25,61.2,71.8,"AL-071",57.2933333333333,1,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",46.01366743,20957.3737,0.402299184167083,0.00147809728567589,1.47809728567589,0.000479901716128537,0.479901716128537,102,0.00195799900180443,1.95799900180443,0.00514876781921083,0.00926981778298077
"17",1077,"Alabama","AL","Lauderdale",92585,0.4946,0.2451,0.4464,0.5622,0.4468,41,10,61.7,73.2,"AL-077",54.3766666666667,1,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",53.35504886,38419.89553,0.414968899173732,0.000442836312577631,0.442836312577631,0.000108008856726252,0.108008856726252,51,0.000550845169303883,0.550845169303883,0.0091585915953238,0.0170052283392998
"18",1079,"Alabama","AL","Lawrence",33171,0.7373,0.5186,0.3725,0.2028,0.4952,33,12,61.7,72.9,"AL-079",54.65,2,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",44.31410883,13334.82104,0.402002382804257,0.000994844894636882,0.994844894636882,0.000361761779867957,0.361761779867957,45,0.00135660667450484,1.35660667450484,0.00327482310766047,0.00589323936628471
"19",1083,"Alabama","AL","Limestone",93052,0.5812,0.2999,0.6186,0.4521,0.5296,23,10,62.2,72.8,"AL-083",55.6433333333333,2,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",78.25236387,35035.57213,0.376516056935907,0.000247173623350385,0.247173623350385,0.000107466792761037,0.107466792761037,33,0.000354640416111422,0.354640416111422,0.00920483860585564,0.0155060673813801
"20",1089,"Alabama","AL","Madison",357560,0.2863,0.1219,0.7217,0.3836,0.3076,158,36,62.1,72.8,"AL-089",57.81,2,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",85.90078329,148050.4546,0.414057653540664,0.000441883879628594,0.441883879628594,0.00010068240295335,0.10068240295335,194,0.000542566282581944,0.542566282581944,0.0353990661470893,0.0655685110186856
"21",1095,"Alabama","AL","Marshall",95145,0.7427,0.7682,0.7708,0.3149,0.7261,45,15,62.6,72.8,"AL-095",53.09,2,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",30.5782424,35868.93732,0.376992351883967,0.000472962320668453,0.472962320668453,0.000157654106889484,0.157654106889484,60,0.000630616427557938,0.630616427557938,0.00941210839823925,0.0158752249378173
"22",1097,"Alabama","AL","Mobile",414659,0.6815,0.5899,0.6845,0.723,0.7532,29,7,68.6,78.9,"AL-097",70.27,2,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",48.07189542,159482.8164,0.384611973694047,6.99369843654666e-05,0.0699369843654666,1.68813410537333e-05,0.0168813410537333,36,8.68183254191999e-05,0.0868183254191999,0.0410535801821162,0.0706327287194448
"23",1103,"Alabama","AL","Morgan",119122,0.5838,0.6702,0.7504,0.5775,0.6895,62,18,62.4,72.9,"AL-103",53.6533333333333,2,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",50.99771017,46110.91715,0.387089850321519,0.000520474807340374,0.520474807340374,0.00015110558922785,0.15110558922785,80,0.000671580396568224,0.671580396568224,0.0117865507355453,0.0204121365973052
"24",1111,"Alabama","AL","Randolph",22574,0.7252,0.4814,0.4266,0.8157,0.7191,9,9,62.9,74.9,"AL-111",56.41,2,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",25.74516869,9211.03277,0.408037245060689,0.000398688756977053,0.398688756977053,0.000398688756977053,0.398688756977053,18,0.000797377513954107,0.797377513954106,0.00222540218559213,0.00406651607704129
"25",1113,"Alabama","AL","Russell",58213,0.8433,0.88,0.7937,0.7768,0.9115,4,1,66,77.6,"AL-113",49.75,2,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",17.59501966,22595.73835,0.388156225413567,6.87131740332915e-05,0.0687131740332915,1.71782935083229e-05,0.0171782935083229,5,8.58914675416144e-05,0.0858914675416144,0.00575473239617942,0.00999556766791076
"26",1115,"Alabama","AL","St. Clair",87306,0.5475,0.3088,0.3961,0.2502,0.3656,39,NA,63.7,74.9,"AL-115",53.0866666666667,2,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",79.31825631,33697.49283,0.385969954298674,0.000446704693835475,0.446704693835475,NA,NA,NA,NA,NA,0.00863581221931184,0.0149133355386842
"27",1117,"Alabama","AL","Shelby",211261,0.0841,0.0691,0.6877,0.1764,0.1169,61,17,64,75.8,"AL-117",56.0133333333333,2,1,"Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ",96.85245902,80328.77415,0.380234752983277,0.000288742361344498,0.288742361344498,8.04691826697781e-05,0.0804691826697781,78,0.000369211544014276,0.369211544014276,0.0209110760104774,0.0355696937261781
