January 2016 - December 2019 Contiguous U.S. County Average Temperature,,,,,,,
Units: Degrees Fahrenheit,,,,,,,
Missing: -99,,,,,,,
Period of Record: 125 Years,,,,,,,
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,
AL-001,Autauga County,Alabama,65.9,124,2,63.9,
AL-003,Baldwin County,Alabama,68.7,125,1.9,66.8,
AL-005,Barbour County,Alabama,66.7,125,1.9,64.8,
AL-007,Bibb County,Alabama,64.4,125,1.7,62.7,
AL-009,Blount County,Alabama,63.2,125,2.6,60.6,
AL-011,Bullock County,Alabama,66.3,125,2.1,64.1,
AL-013,Butler County,Alabama,66.5,123,1.9,64.6,
AL-015,Calhoun County,Alabama,63.6,125,2.7,60.9,
AL-017,Chambers County,Alabama,63.6,125,2,61.5,
AL-019,Cherokee County,Alabama,62.8,125,2.2,60.6,
AL-021,Chilton County,Alabama,64.2,124,1.5,62.7,
AL-023,Choctaw County,Alabama,66.4,125,1.9,64.5,
AL-025,Clarke County,Alabama,66.8,125,1.9,64.8,
AL-027,Clay County,Alabama,62.8,125,2.1,60.7,
AL-029,Cleburne County,Alabama,62.7,125,2.9,59.9,
AL-031,Coffee County,Alabama,67.2,125,1.8,65.4,
AL-033,Colbert County,Alabama,62,125,2.1,59.9,
AL-035,Conecuh County,Alabama,67.1,122,1.7,65.4,
AL-037,Coosa County,Alabama,64,125,1.8,62.3,
AL-039,Covington County,Alabama,67.2,123,1.6,65.6,
AL-041,Crenshaw County,Alabama,66.3,125,1.8,64.4,
AL-043,Cullman County,Alabama,62.6,125,2.3,60.3,
AL-045,Dale County,Alabama,67.5,125,1.8,65.7,
AL-047,Dallas County,Alabama,66.4,125,2.1,64.3,
AL-049,DeKalb County,Alabama,61.2,125,1.9,59.3,
AL-051,Elmore County,Alabama,65.9,125,2.1,63.7,
AL-053,Escambia County,Alabama,67.7,123,1.7,66,
AL-055,Etowah County,Alabama,63.3,125,2.5,60.8,
AL-057,Fayette County,Alabama,63.9,125,2,62,
AL-059,Franklin County,Alabama,61.8,125,1.9,59.9,
AL-061,Geneva County,Alabama,67.9,124,1.9,66.1,
AL-063,Greene County,Alabama,65.2,125,1.4,63.8,
AL-065,Hale County,Alabama,65.2,125,1.5,63.7,
AL-067,Henry County,Alabama,67.6,125,1.9,65.7,
AL-069,Houston County,Alabama,68.4,124,1.9,66.5,
AL-071,Jackson County,Alabama,61.2,125,1.8,59.4,
AL-073,Jefferson County,Alabama,64.2,125,2.4,61.8,
AL-075,Lamar County,Alabama,64.1,125,2.1,62.1,
AL-077,Lauderdale County,Alabama,61.7,125,2.2,59.5,
AL-079,Lawrence County,Alabama,61.7,125,1.6,60.1,
AL-081,Lee County,Alabama,64.8,125,1.9,63,
AL-083,Limestone County,Alabama,62.2,125,2.3,59.8,
AL-085,Lowndes County,Alabama,66.9,125,2.3,64.6,
AL-087,Macon County,Alabama,66,125,2,64,
AL-089,Madison County,Alabama,62.1,125,2.2,59.9,
AL-091,Marengo County,Alabama,65.9,125,1.6,64.3,
AL-093,Marion County,Alabama,62.5,125,1.8,60.7,
AL-095,Marshall County,Alabama,62.6,125,2.2,60.3,
AL-097,Mobile County,Alabama,68.6,125,2.1,66.4,
AL-099,Monroe County,Alabama,67.3,123,2.1,65.1,
AL-101,Montgomery County,Alabama,66.9,125,2.5,64.4,
AL-103,Morgan County,Alabama,62.4,125,2.2,60.2,
AL-105,Perry County,Alabama,65.4,125,1.8,63.6,
AL-107,Pickens County,Alabama,65,125,1.9,63.1,
AL-109,Pike County,Alabama,66.4,125,1.7,64.6,
AL-111,Randolph County,Alabama,62.9,125,2.4,60.5,
AL-113,Russell County,Alabama,66,125,1.8,64.2,
AL-115,St. Clair County,Alabama,63.7,125,2.6,61.1,
