metro_nonmetro,county_name,state_abbr,geoId,value
Metropolitan,"Anchorage Municipality",AK,us-ak-020,"Part of county is shortage area"
Metropolitan,"Fairbanks North Star Borough",AK,us-ak-090,"Whole county is shortage area"
Metropolitan,"Matanuska-Susitna Borough",AK,us-ak-170,"Part of county is shortage area"
Metropolitan,"Autauga County",AL,us-al-001,"Whole county is shortage area"
Metropolitan,"Baldwin County",AL,us-al-003,"Part of county is shortage area"
Metropolitan,"Bibb County",AL,us-al-007,"Whole county is shortage area"
Metropolitan,"Blount County",AL,us-al-009,"Whole county is shortage area"
Metropolitan,"Calhoun County",AL,us-al-015,"Part of county is shortage area"
Metropolitan,"Chilton County",AL,us-al-021,"Whole county is shortage area"
Metropolitan,"Colbert County",AL,us-al-033,"Whole county is shortage area"
Metropolitan,"Elmore County",AL,us-al-051,"Whole county is shortage area"
Metropolitan,"Etowah County",AL,us-al-055,"Whole county is shortage area"
Metropolitan,"Geneva County",AL,us-al-061,"Whole county is shortage area"
Metropolitan,"Greene County",AL,us-al-063,"Whole county is shortage area"
Metropolitan,"Hale County",AL,us-al-065,"Whole county is shortage area"
Metropolitan,"Henry County",AL,us-al-067,"Whole county is shortage area"
Metropolitan,"Houston County",AL,us-al-069,"Part of county is shortage area"
Metropolitan,"Jefferson County",AL,us-al-073,"Part of county is shortage area"
Metropolitan,"Lauderdale County",AL,us-al-077,"Part of county is shortage area"
Metropolitan,"Lawrence County",AL,us-al-079,"Whole county is shortage area"
Metropolitan,"Lee County",AL,us-al-081,"Whole county is shortage area"
Metropolitan,"Limestone County",AL,us-al-083,"Whole county is shortage area"
Metropolitan,"Lowndes County",AL,us-al-085,"Whole county is shortage area"
Metropolitan,"Madison County",AL,us-al-089,"Whole county is shortage area"
Metropolitan,"Mobile County",AL,us-al-097,"Whole county is shortage area"
Metropolitan,"Montgomery County",AL,us-al-101,"Whole county is shortage area"
Metropolitan,"Morgan County",AL,us-al-103,"Whole county is shortage area"
Metropolitan,"Pickens County",AL,us-al-107,"Whole county is shortage area"
Metropolitan,"Russell County",AL,us-al-113,"Whole county is shortage area"
Metropolitan,"Shelby County",AL,us-al-117,"Whole county is shortage area"
Metropolitan,"St. Clair County",AL,us-al-115,"Whole county is shortage area"
Metropolitan,"Tuscaloosa County",AL,us-al-125,"Part of county is shortage area"
Metropolitan,"Washington County",AL,us-al-129,"Whole county is shortage area"
Metropolitan,"Benton County",AR,us-ar-007,"Part of county is shortage area"
Metropolitan,"Cleveland County",AR,us-ar-025,"Whole county is shortage area"
Metropolitan,"Craighead County",AR,us-ar-031,"Part of county is shortage area"
Metropolitan,"Crawford County",AR,us-ar-033,"Whole county is shortage area"
Metropolitan,"Crittenden County",AR,us-ar-035,"Part of county is shortage area"
Metropolitan,"Faulkner County",AR,us-ar-045,"Part of county is shortage area"
Metropolitan,"Franklin County",AR,us-ar-047,"Part of county is shortage area"
Metropolitan,"Garland County",AR,us-ar-051,"None of county is shortage area"
Metropolitan,"Grant County",AR,us-ar-053,"Whole county is shortage area"
Metropolitan,"Jefferson County",AR,us-ar-069,"Part of county is shortage area"
Metropolitan,"Lincoln County",AR,us-ar-079,"Whole county is shortage area"
Metropolitan,"Little River County",AR,us-ar-081,"Whole county is shortage area"
Metropolitan,"Lonoke County",AR,us-ar-085,"Part of county is shortage area"
Metropolitan,"Madison County",AR,us-ar-087,"Whole county is shortage area"
Metropolitan,"Miller County",AR,us-ar-091,"None of county is shortage area"
Metropolitan,"Perry County",AR,us-ar-105,"Whole county is shortage area"
Metropolitan,"Poinsett County",AR,us-ar-111,"Part of county is shortage area"
Metropolitan,"Pulaski County",AR,us-ar-119,"Part of county is shortage area"
Metropolitan,"Saline County",AR,us-ar-125,"Part of county is shortage area"
Metropolitan,"Sebastian County",AR,us-ar-131,"Part of county is shortage area"
Metropolitan,"Washington County",AR,us-ar-143,"Part of county is shortage area"
Metropolitan,"Cochise County",AZ,us-az-003,"Part of county is shortage area"
Metropolitan,"Coconino County",AZ,us-az-005,"Part of county is shortage area"
Metropolitan,"Maricopa County",AZ,us-az-013,"Part of county is shortage area"
Metropolitan,"Mohave County",AZ,us-az-015,"Part of county is shortage area"
Metropolitan,"Pima County",AZ,us-az-019,"Part of county is shortage area"
Metropolitan,"Pinal County",AZ,us-az-021,"Part of county is shortage area"
Metropolitan,"Yavapai County",AZ,us-az-025,"Part of county is shortage area"
Metropolitan,"Yuma County",AZ,us-az-027,"Part of county is shortage area"
Metropolitan,"Alameda County",CA,us-ca-001,"Part of county is shortage area"
Metropolitan,"Butte County",CA,us-ca-007,"Part of county is shortage area"
