January 2016 - December 2019 Contiguous U.S. County Maximum Temperature,,,,,,,
Units: Degrees Fahrenheit,,,,,,,
Missing: -99,,,,,,,
Period of Record: 125 Years,,,,,,,
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean,
AL-001,Autauga County,Alabama,77.6,125,2,75.7,
AL-003,Baldwin County,Alabama,78.7,124,1.4,77.3,
AL-005,Barbour County,Alabama,78.2,125,1.8,76.4,
AL-007,Bibb County,Alabama,76,120,1.3,74.7,
AL-009,Blount County,Alabama,73.6,109,0.9,72.7,
AL-011,Bullock County,Alabama,77.7,125,1.9,75.8,
AL-013,Butler County,Alabama,78.2,125,1.7,76.5,
AL-015,Calhoun County,Alabama,75.2,125,2.1,73.1,
AL-017,Chambers County,Alabama,75.5,125,1.4,74.1,
AL-019,Cherokee County,Alabama,74,120,1.4,72.6,
AL-021,Chilton County,Alabama,76.1,125,1.3,74.8,
AL-023,Choctaw County,Alabama,77.7,117,1.1,76.6,
AL-025,Clarke County,Alabama,77.7,113,0.8,76.9,
AL-027,Clay County,Alabama,74.7,125,1.6,73.1,
AL-029,Cleburne County,Alabama,74.6,125,2.4,72.2,
AL-031,Coffee County,Alabama,78.9,125,1.8,77.1,
AL-033,Colbert County,Alabama,73.6,113,1.2,72.3,
AL-035,Conecuh County,Alabama,78.3,112,0.9,77.4,
AL-037,Coosa County,Alabama,75.9,125,1.4,74.5,
AL-039,Covington County,Alabama,78.8,118,1.1,77.7,
AL-041,Crenshaw County,Alabama,78.2,125,1.7,76.5,
AL-043,Cullman County,Alabama,72.9,77,0.3,72.6,
AL-045,Dale County,Alabama,78.9,125,2,76.9,
AL-047,Dallas County,Alabama,78,125,2.2,75.7,
AL-049,DeKalb County,Alabama,71.5,109,1,70.4,
AL-051,Elmore County,Alabama,77.5,125,1.7,75.8,
AL-053,Escambia County,Alabama,78.8,114,0.8,78,
AL-055,Etowah County,Alabama,74.1,125,1.6,72.5,
AL-057,Fayette County,Alabama,75.2,116,1.3,73.9,
AL-059,Franklin County,Alabama,73.1,110,1.2,72,
AL-061,Geneva County,Alabama,79.5,125,1.8,77.7,
AL-063,Greene County,Alabama,76.5,119,1.2,75.3,
AL-065,Hale County,Alabama,76.5,125,1.4,75.1,
AL-067,Henry County,Alabama,78.9,125,2,76.9,
AL-069,Houston County,Alabama,79.6,125,1.9,77.7,
AL-071,Jackson County,Alabama,71.8,112,1.1,70.7,
AL-073,Jefferson County,Alabama,75.5,125,1.6,73.8,
AL-075,Lamar County,Alabama,75.4,120,1.4,74,
AL-077,Lauderdale County,Alabama,73.2,113,1.2,72,
AL-079,Lawrence County,Alabama,72.9,99,0.8,72.1,
AL-081,Lee County,Alabama,76,113,0.9,75.1,
AL-083,Limestone County,Alabama,72.8,103,1,71.9,
AL-085,Lowndes County,Alabama,78.5,125,2.3,76.2,
AL-087,Macon County,Alabama,77.2,124,1.2,76,
AL-089,Madison County,Alabama,72.8,112,1.1,71.7,
AL-091,Marengo County,Alabama,77.6,125,1.7,75.8,
AL-093,Marion County,Alabama,73.8,106,1.1,72.8,
AL-095,Marshall County,Alabama,72.8,117,1.2,71.5,
AL-097,Mobile County,Alabama,78.9,125,1.8,77.1,
AL-099,Monroe County,Alabama,78.3,120,1.3,77,
AL-101,Montgomery County,Alabama,78.6,125,2.4,76.2,
AL-103,Morgan County,Alabama,72.9,95,0.7,72.2,
AL-105,Perry County,Alabama,77,125,1.9,75.1,
AL-107,Pickens County,Alabama,76.1,116,1.3,74.8,
AL-109,Pike County,Alabama,77.9,125,1.5,76.4,
AL-111,Randolph County,Alabama,74.9,125,2,73,
AL-113,Russell County,Alabama,77.6,125,1.4,76.2,
AL-115,St. Clair County,Alabama,74.9,123,1.5,73.4,
AL-117,Shelby County,Alabama,75.8,125,1.5,74.3,
AL-119,Sumter County,Alabama,77.2,125,1.6,75.6,
AL-121,Talladega County,Alabama,75.7,124,1.5,74.2,
AL-123,Tallapoosa County,Alabama,76,119,1.1,74.8,
AL-125,Tuscaloosa County,Alabama,75.9,107,1.1,74.8,
AL-127,Walker County,Alabama,74.8,110,1.1,73.7,
AL-129,Washington County,Alabama,78.2,108,0.4,77.7,
AL-131,Wilcox County,Alabama,78.2,125,1.9,76.3,
AL-133,Winston County,Alabama,72.9,88,0.6,72.3,
AZ-001,Apache County,Arizona,66.9,122,2.9,64,
AZ-003,Cochise County,Arizona,77.9,122,2.6,75.3,
AZ-005,Coconino County,Arizona,68.6,121,2.7,65.9,
AZ-007,Gila County,Arizona,75.3,122,3,72.3,
AZ-009,Graham County,Arizona,76.2,121,2.6,73.6,
AZ-011,Greenlee County,Arizona,71.9,122,2.7,69.3,
AZ-012,La Paz County,Arizona,86.5,119,2.2,84.3,
AZ-013,Maricopa County,Arizona,86.1,122,2.8,83.4,
AZ-015,Mohave County,Arizona,76.2,116,2.1,74.1,
AZ-017,Navajo County,Arizona,68.8,122,3.3,65.5,
AZ-019,Pima County,Arizona,84.2,122,3,81.2,
AZ-021,Pinal County,Arizona,84.1,122,2.5,81.7,
AZ-023,Santa Cruz County,Arizona,77.2,120,2.5,74.7,
AZ-025,Yavapai County,Arizona,75.5,121,2.9,72.6,
AZ-027,Yuma County,Arizona,88.3,120,2.7,85.6,
AR-001,Arkansas County,Arkansas,73.4,88,0.6,72.8,
AR-003,Ashley County,Arkansas,76,115,1.3,74.8,
AR-005,Baxter County,Arkansas,69.8,100,0.6,69.2,
AR-007,Benton County,Arkansas,69.8,112,1.3,68.5,
AR-009,Boone County,Arkansas,69.1,108,0.9,68.2,
AR-011,Bradley County,Arkansas,75.6,115,1.1,74.6,
AR-013,Calhoun County,Arkansas,75.1,91,0.4,74.7,
AR-015,Carroll County,Arkansas,69.2,112,1.1,68.1,
AR-017,Chicot County,Arkansas,75,78,0.2,74.8,
AR-019,Clark County,Arkansas,74.5,89,0.5,74.1,
AR-021,Clay County,Arkansas,70.5,87,0.4,70.1,
AR-023,Cleburne County,Arkansas,70.6,103,0.9,69.7,
AR-025,Cleveland County,Arkansas,74.1,81,0.1,73.9,
AR-027,Columbia County,Arkansas,75.4,90,0.3,75,
AR-029,Conway County,Arkansas,72.9,109,1,71.9,
AR-031,Craighead County,Arkansas,71,102,0.7,70.3,
AR-033,Crawford County,Arkansas,72.1,117,1.5,70.6,
AR-035,Crittenden County,Arkansas,72.7,111,1.2,71.5,
AR-037,Cross County,Arkansas,71.8,97,0.7,71.1,
AR-039,Dallas County,Arkansas,74,59,-0.1,74.1,
AR-041,Desha County,Arkansas,73.6,68,-0.1,73.7,
AR-043,Drew County,Arkansas,74.7,95,0.6,74.1,
AR-045,Faulkner County,Arkansas,72.7,99,0.9,71.9,
AR-047,Franklin County,Arkansas,71.7,114,1.2,70.5,
AR-049,Fulton County,Arkansas,69.8,115,1.2,68.6,
AR-051,Garland County,Arkansas,73.1,99,0.8,72.4,
AR-053,Grant County,Arkansas,73.9,70,0,73.8,
AR-055,Greene County,Arkansas,70.5,90,0.4,70.1,
AR-057,Hempstead County,Arkansas,74.5,85,0.4,74.2,
AR-059,Hot Spring County,Arkansas,73.9,84,0.3,73.5,
AR-061,Howard County,Arkansas,73.8,105,0.9,72.8,
AR-063,Independence County,Arkansas,70.6,109,0.8,69.8,
AR-065,Izard County,Arkansas,69.6,86,0.5,69.2,
AR-067,Jackson County,Arkansas,71.2,112,1,70.2,
AR-069,Jefferson County,Arkansas,73.6,80,0.3,73.3,
AR-071,Johnson County,Arkansas,70.8,114,1.1,69.7,
AR-073,Lafayette County,Arkansas,75.6,98,0.5,75.1,
AR-075,Lawrence County,Arkansas,70.6,104,0.7,69.9,
AR-077,Lee County,Arkansas,72.9,109,1,71.8,
AR-079,Lincoln County,Arkansas,73.9,87,0.4,73.5,
AR-081,Little River County,Arkansas,75.2,113,1.2,74,
AR-083,Logan County,Arkansas,72.9,116,1.2,71.6,
AR-085,Lonoke County,Arkansas,73,81,0.3,72.7,
AR-087,Madison County,Arkansas,68.3,111,1.1,67.2,
AR-089,Marion County,Arkansas,69.7,95,0.6,69.1,
AR-091,Miller County,Arkansas,75.5,97,0.6,74.9,
AR-093,Mississippi County,Arkansas,71.7,114,1.1,70.6,
AR-095,Monroe County,Arkansas,72.7,99,0.8,71.9,
AR-097,Montgomery County,Arkansas,73,114,1.3,71.7,
AR-099,Nevada County,Arkansas,74.8,89,0.4,74.4,
AR-101,Newton County,Arkansas,67.9,101,0.7,67.2,
AR-103,Ouachita County,Arkansas,74.8,65,0,74.8,
AR-105,Perry County,Arkansas,73.2,107,0.9,72.3,
AR-107,Phillips County,Arkansas,73.3,101,1,72.3,
AR-109,Pike County,Arkansas,73.6,97,0.6,73,
AR-111,Poinsett County,Arkansas,71.5,106,0.9,70.6,
AR-113,Polk County,Arkansas,72.2,120,1.7,70.5,
AR-115,Pope County,Arkansas,71.4,103,0.8,70.6,
AR-117,Prairie County,Arkansas,72.4,77,0.2,72.2,
AR-119,Pulaski County,Arkansas,73.1,76,0.3,72.8,
AR-121,Randolph County,Arkansas,70.6,108,1,69.6,
AR-123,St. Francis County,Arkansas,72.4,105,0.9,71.5,
AR-125,Saline County,Arkansas,72.8,70,0.1,72.8,
AR-127,Scott County,Arkansas,72.8,120,1.7,71.1,
AR-129,Searcy County,Arkansas,68.9,81,0.4,68.5,
AR-131,Sebastian County,Arkansas,73.5,117,1.6,71.9,
AR-133,Sevier County,Arkansas,74.6,114,1.5,73.1,
AR-135,Sharp County,Arkansas,70,108,0.9,69.1,
AR-137,Stone County,Arkansas,69.4,96,0.6,68.8,
AR-139,Union County,Arkansas,76.2,117,1.1,75.1,
AR-141,Van Buren County,Arkansas,70.2,101,0.7,69.5,
AR-143,Washington County,Arkansas,69.6,115,1.2,68.4,
AR-145,White County,Arkansas,71.8,92,0.6,71.2,
AR-147,Woodruff County,Arkansas,71.7,93,0.5,71.2,
AR-149,Yell County,Arkansas,73.4,118,1.4,72,
CA-001,Alameda County,California,70.7,118,2,68.6,
CA-003,Alpine County,California,56.3,113,1.5,54.8,
CA-005,Amador County,California,71.2,108,1.5,69.7,
CA-007,Butte County,California,73.1,118,2.2,70.9,
CA-009,Calaveras County,California,71.9,116,1.6,70.4,
CA-011,Colusa County,California,75.2,113,1.4,73.8,
CA-013,Contra Costa County,California,72.2,118,2.2,70,
CA-015,Del Norte County,California,62,101,1.8,60.2,
CA-017,El Dorado County,California,66.1,93,0.9,65.3,
CA-019,Fresno County,California,69.6,117,2,67.5,
CA-021,Glenn County,California,73.5,117,1.7,71.8,
CA-023,Humboldt County,California,65.2,116,2.7,62.5,
CA-025,Imperial County,California,88.3,116,2,86.3,
CA-027,Inyo County,California,74.4,115,1.7,72.7,
CA-029,Kern County,California,75.9,119,2.2,73.7,
CA-031,Kings County,California,78.5,120,2.5,76.1,
CA-033,Lake County,California,69.6,107,1.1,68.5,
CA-035,Lassen County,California,61,106,1.4,59.5,
CA-037,Los Angeles County,California,74.6,120,3,71.6,
CA-039,Madera County,California,70.2,117,1.8,68.5,
CA-041,Marin County,California,65.6,118,2.2,63.4,
CA-043,Mariposa County,California,69.3,118,1.6,67.7,
CA-045,Mendocino County,California,67.6,112,1.3,66.3,
CA-047,Merced County,California,76,120,2.4,73.6,
CA-049,Modoc County,California,61,116,2.2,58.7,
CA-051,Mono County,California,59.3,117,1.8,57.5,
CA-053,Monterey County,California,73.7,118,2.1,71.6,
CA-055,Napa County,California,72.9,117,1.9,71,
CA-057,Nevada County,California,65.2,114,1.4,63.8,
CA-059,Orange County,California,75.5,120,2.6,72.9,
CA-061,Placer County,California,66.5,106,1.3,65.2,
CA-063,Plumas County,California,61,108,1.4,59.6,
CA-065,Riverside County,California,82.2,117,2.3,79.9,
CA-067,Sacramento County,California,76.3,118,2.3,73.9,
CA-069,San Benito County,California,72.9,117,2.2,70.6,
CA-071,San Bernardino County,California,79.8,117,2.4,77.4,
CA-073,San Diego County,California,77,119,2.9,74.2,
CA-075,San Francisco County,California,65.8,118,2.2,63.6,
CA-077,San Joaquin County,California,76.8,119,3.5,73.3,
CA-079,San Luis Obispo County,California,74.7,118,3.1,71.6,
CA-081,San Mateo County,California,67.4,118,2.3,65.2,
CA-083,Santa Barbara County,California,72.1,120,3.7,68.4,
CA-085,Santa Clara County,California,70.9,118,2.3,68.6,
CA-087,Santa Cruz County,California,70.1,118,2.9,67.2,
CA-089,Shasta County,California,68.7,117,2.1,66.6,
CA-091,Sierra County,California,60.6,115,1.6,59,
CA-093,Siskiyou County,California,61.5,114,2.2,59.2,
CA-095,Solano County,California,74.2,117,2.1,72.1,
CA-097,Sonoma County,California,69.4,118,2,67.4,
CA-099,Stanislaus County,California,75.7,119,2.9,72.9,
CA-101,Sutter County,California,77.2,118,2.4,74.9,
CA-103,Tehama County,California,71.4,117,1.9,69.6,
CA-105,Trinity County,California,66,118,2.6,63.4,
CA-107,Tulare County,California,67.3,113,1.3,66,
CA-109,Tuolumne County,California,63.4,116,1.3,62,
CA-111,Ventura County,California,71.6,120,3.3,68.3,
CA-113,Yolo County,California,76,117,1.8,74.3,
CA-115,Yuba County,California,74,118,1.9,72.1,
CO-001,Adams County,Colorado,65.5,116,2,63.5,
CO-003,Alamosa County,Colorado,60.4,122,2.8,57.6,
CO-005,Arapahoe County,Colorado,64.8,114,1.8,63,
CO-007,Archuleta County,Colorado,58.9,118,1.6,57.4,
CO-009,Baca County,Colorado,69.8,112,1.8,68.1,
CO-011,Bent County,Colorado,70.8,124,3,67.8,
CO-013,Boulder County,Colorado,58.8,118,1.8,57,
CO-014,Broomfield County,Colorado,66.1,119,1.8,64.3,
CO-015,Chaffee County,Colorado,52.8,124,2.3,50.5,
CO-017,Cheyenne County,Colorado,67.4,115,3.1,64.4,
CO-019,Clear Creek County,Colorado,50.1,124,2.2,47.9,
CO-021,Conejos County,Colorado,55.6,121,2.7,52.9,
CO-023,Costilla County,Colorado,58,122,2.9,55.1,
CO-025,Crowley County,Colorado,69.9,124,3.4,66.5,
CO-027,Custer County,Colorado,56.2,119,1.9,54.2,
CO-029,Delta County,Colorado,61,120,3.4,57.6,
CO-031,Denver County,Colorado,66,117,1.7,64.2,
CO-033,Dolores County,Colorado,57.6,122,2.6,54.9,
CO-035,Douglas County,Colorado,62,118,1.5,60.4,
CO-037,Eagle County,Colorado,53.3,122,2.3,51.1,
CO-039,Elbert County,Colorado,63.8,118,2.2,61.6,
CO-041,El Paso County,Colorado,64.2,123,3.2,61,
CO-043,Fremont County,Colorado,61.2,120,1.9,59.3,
CO-045,Garfield County,Colorado,56.4,119,2.6,53.8,
CO-047,Gilpin County,Colorado,52,118,1.9,50.1,
CO-049,Grand County,Colorado,51.5,123,2.4,49.1,
CO-051,Gunnison County,Colorado,52.3,120,2.3,50,
CO-053,Hinsdale County,Colorado,49.6,122,2.9,46.8,
CO-055,Huerfano County,Colorado,62.5,122,2.3,60.3,
CO-057,Jackson County,Colorado,50.8,120,2.1,48.7,
CO-059,Jefferson County,Colorado,60.7,111,1.4,59.3,
CO-061,Kiowa County,Colorado,69,122,2.9,66.1,
CO-063,Kit Carson County,Colorado,66.7,120,3.1,63.6,
CO-065,Lake County,Colorado,48.6,121,2.3,46.3,
CO-067,La Plata County,Colorado,59.8,121,2.7,57.1,
CO-069,Larimer County,Colorado,56.2,123,2.6,53.5,
CO-071,Las Animas County,Colorado,67.5,123,2.4,65.1,
CO-073,Lincoln County,Colorado,66.6,122,2.6,64,
CO-075,Logan County,Colorado,64.6,103,1.7,62.9,
CO-077,Mesa County,Colorado,61.4,121,3.4,57.9,
CO-079,Mineral County,Colorado,50.8,121,2.2,48.6,
CO-081,Moffat County,Colorado,58.2,120,2.6,55.6,
CO-083,Montezuma County,Colorado,63.8,121,2.7,61.1,
CO-085,Montrose County,Colorado,62.2,120,3.1,59.1,
CO-087,Morgan County,Colorado,65.9,121,3.1,62.8,
CO-089,Otero County,Colorado,70.9,124,3.2,67.6,
CO-091,Ouray County,Colorado,56.6,122,3.8,52.9,
CO-093,Park County,Colorado,53.1,122,1.9,51.2,
CO-095,Phillips County,Colorado,64.5,96,1.3,63.2,
CO-097,Pitkin County,Colorado,51.2,122,2.4,48.8,
CO-099,Prowers County,Colorado,70.3,122,2.7,67.6,
CO-101,Pueblo County,Colorado,69,124,2.6,66.4,
CO-103,Rio Blanco County,Colorado,58.2,122,2.5,55.6,
CO-105,Rio Grande County,Colorado,55.8,121,2.9,52.9,
CO-107,Routt County,Colorado,53.5,121,2.6,50.9,
CO-109,Saguache County,Colorado,54,112,1.6,52.4,
CO-111,San Juan County,Colorado,47.9,122,3.3,44.6,
CO-113,San Miguel County,Colorado,59.6,122,2.9,56.7,
CO-115,Sedgwick County,Colorado,63.8,85,0.8,63,
CO-117,Summit County,Colorado,49.2,123,2.3,46.9,
CO-119,Teller County,Colorado,55.6,118,1.9,53.7,
CO-121,Washington County,Colorado,65.7,119,2.6,63.2,
CO-123,Weld County,Colorado,64.4,109,1.9,62.5,
CO-125,Yuma County,Colorado,66.2,112,2.3,63.9,
CT-001,Fairfield County,Connecticut,61.6,120,2.5,59.1,
CT-003,Hartford County,Connecticut,61.1,119,2.1,59,
CT-005,Litchfield County,Connecticut,58.7,119,2,56.7,
CT-007,Middlesex County,Connecticut,61.2,120,2.2,59,
CT-009,New Haven County,Connecticut,61.3,123,2.3,59,
CT-011,New London County,Connecticut,60.8,119,2.2,58.6,
CT-013,Tolland County,Connecticut,60.3,121,2.4,57.8,
CT-015,Windham County,Connecticut,60.1,119,2.2,57.9,
DE-001,Kent County,Delaware,66.6,120,2.4,64.2,
DE-003,New Castle County,Delaware,65.5,123,2.3,63.2,
DE-005,Sussex County,Delaware,67.9,122,3.1,64.7,
FL-001,Alachua County,Florida,82.1,124,1.7,80.4,
FL-003,Baker County,Florida,81.5,125,2.5,79,
FL-005,Bay County,Florida,80,124,2.8,77.2,
FL-007,Bradford County,Florida,81.8,124,2.1,79.7,
FL-009,Brevard County,Florida,82.3,123,1.8,80.5,
FL-011,Broward County,Florida,85.9,122,2.2,83.7,
FL-013,Calhoun County,Florida,80.6,125,2.5,78.1,
FL-015,Charlotte County,Florida,85.7,123,2.1,83.6,
FL-017,Citrus County,Florida,82.5,122,2,80.5,
FL-019,Clay County,Florida,81.8,124,2.6,79.2,
FL-021,Collier County,Florida,86,120,1.6,84.4,
FL-023,Columbia County,Florida,81.1,124,1.7,79.5,
FL-027,DeSoto County,Florida,85.5,124,1.7,83.8,
FL-029,Dixie County,Florida,81.2,124,1.9,79.3,
FL-031,Duval County,Florida,81,125,3,78,
FL-033,Escambia County,Florida,78.8,122,1.2,77.6,
FL-035,Flagler County,Florida,81.9,123,2.4,79.5,
FL-037,Franklin County,Florida,80.3,124,2.4,77.9,
FL-039,Gadsden County,Florida,80.4,125,1.7,78.7,
FL-041,Gilchrist County,Florida,81.9,124,1.9,79.9,
FL-043,Glades County,Florida,85.7,124,2.2,83.5,
FL-045,Gulf County,Florida,80.4,124,3,77.4,
FL-047,Hamilton County,Florida,80.3,123,1.1,79.3,
FL-049,Hardee County,Florida,85.2,122,2,83.2,
FL-051,Hendry County,Florida,86,125,2,84,
FL-053,Hernando County,Florida,83,122,2.2,80.7,
FL-055,Highlands County,Florida,85.3,123,1.9,83.4,
FL-057,Hillsborough County,Florida,83.8,122,2.5,81.3,
FL-059,Holmes County,Florida,79.8,124,1.6,78.2,
FL-061,Indian River County,Florida,83.6,125,2.3,81.3,
FL-063,Jackson County,Florida,80.3,125,1.9,78.3,
FL-065,Jefferson County,Florida,80.1,125,1.4,78.7,
FL-067,Lafayette County,Florida,81.2,124,1.7,79.5,
FL-069,Lake County,Florida,83.6,123,2.2,81.3,
FL-071,Lee County,Florida,85.6,123,2,83.6,
FL-073,Leon County,Florida,80.5,124,1.5,79,
FL-075,Levy County,Florida,82,122,2.3,79.8,
FL-077,Liberty County,Florida,80.9,125,2.4,78.4,
FL-079,Madison County,Florida,80.2,125,1.4,78.8,
FL-081,Manatee County,Florida,84.3,124,1.9,82.5,
FL-083,Marion County,Florida,82.7,122,1.8,80.9,
FL-085,Martin County,Florida,84.9,122,2.6,82.4,
FL-086,Miami-Dade County,Florida,86.1,124,2.6,83.5,
FL-087,Monroe County,Florida,85.8,122,2.3,83.5,
FL-089,Nassau County,Florida,80.9,125,2.8,78.1,
FL-091,Okaloosa County,Florida,79.1,121,1.2,78,
FL-093,Okeechobee County,Florida,84.8,124,2.3,82.5,
FL-095,Orange County,Florida,83.8,122,2,81.8,
FL-097,Osceola County,Florida,84.4,123,2.1,82.3,
FL-099,Palm Beach County,Florida,85.6,123,2.4,83.2,
FL-101,Pasco County,Florida,83.3,122,2.5,80.8,
FL-103,Pinellas County,Florida,82.8,123,2.5,80.3,
FL-105,Polk County,Florida,84.8,123,2.1,82.7,
FL-107,Putnam County,Florida,82.2,123,2.1,80.1,
FL-109,St. Johns County,Florida,81.1,125,2.8,78.4,
FL-111,St. Lucie County,Florida,84.3,124,2.4,81.8,
FL-113,Santa Rosa County,Florida,78.6,115,0.7,77.9,
FL-115,Sarasota County,Florida,84.8,124,1.7,83.1,
FL-117,Seminole County,Florida,83.4,122,1.8,81.5,
FL-119,Sumter County,Florida,83.5,122,2.3,81.2,
FL-121,Suwannee County,Florida,81,125,1.5,79.4,
FL-123,Taylor County,Florida,80.5,125,1.6,78.9,
FL-125,Union County,Florida,81.6,125,1.9,79.7,
FL-127,Volusia County,Florida,82.5,124,2,80.4,
FL-129,Wakulla County,Florida,80.6,124,1.8,78.9,
FL-131,Walton County,Florida,79.6,124,1.7,77.9,
FL-133,Washington County,Florida,80.2,125,1.9,78.3,
GA-001,Appling County,Georgia,79.6,125,1.6,78,
GA-003,Atkinson County,Georgia,79.8,125,1.6,78.1,
GA-005,Bacon County,Georgia,79.8,125,1.6,78.2,
GA-007,Baker County,Georgia,79.2,125,1.5,77.7,
GA-009,Baldwin County,Georgia,77.7,125,2.3,75.5,
GA-011,Banks County,Georgia,73.4,125,2.2,71.2,
GA-013,Barrow County,Georgia,73.8,125,2.4,71.4,
GA-015,Bartow County,Georgia,73.4,120,1.3,72.1,
GA-017,Ben Hill County,Georgia,78.9,125,2.6,76.4,
GA-019,Berrien County,Georgia,79,125,1.4,77.7,
GA-021,Bibb County,Georgia,78,125,2.4,75.7,
GA-023,Bleckley County,Georgia,78.6,125,2.7,76,
GA-025,Brantley County,Georgia,80.7,125,2.5,78.2,
GA-027,Brooks County,Georgia,79.1,112,0.6,78.5,
GA-029,Bryan County,Georgia,79.3,125,2.1,77.2,
GA-031,Bulloch County,Georgia,78.8,122,1.9,76.9,
GA-033,Burke County,Georgia,78.2,125,3,75.2,
GA-035,Butts County,Georgia,76.9,125,3,73.9,
GA-037,Calhoun County,Georgia,79.1,125,1.9,77.2,
GA-039,Camden County,Georgia,80,124,2.5,77.5,
GA-043,Candler County,Georgia,78.5,122,1.6,76.9,
GA-045,Carroll County,Georgia,74.9,125,3.1,71.8,
GA-047,Catoosa County,Georgia,72.6,119,1.7,70.9,
GA-049,Charlton County,Georgia,81.3,125,2.6,78.6,
GA-051,Chatham County,Georgia,79.1,125,2.6,76.6,
GA-053,Chattahoochee County,Georgia,77.5,125,1.5,76.1,
GA-055,Chattooga County,Georgia,72.8,107,1,71.9,
GA-057,Cherokee County,Georgia,72.5,125,1.8,70.6,
GA-059,Clarke County,Georgia,74.4,125,2.4,72,
GA-061,Clay County,Georgia,78.9,125,2,76.9,
GA-063,Clayton County,Georgia,75,125,3,72,
GA-065,Clinch County,Georgia,80.5,125,1.6,78.9,
GA-067,Cobb County,Georgia,73.8,125,2.5,71.3,
GA-069,Coffee County,Georgia,79.4,125,1.9,77.5,
GA-071,Colquitt County,Georgia,78.3,122,0.9,77.4,
GA-073,Columbia County,Georgia,76.9,125,2.7,74.3,
GA-075,Cook County,Georgia,78.7,124,0.9,77.8,
GA-077,Coweta County,Georgia,75.6,125,2.8,72.8,
GA-079,Crawford County,Georgia,77.5,125,2,75.4,
GA-081,Crisp County,Georgia,79.2,125,3.2,76,
GA-083,Dade County,Georgia,70.7,111,1.2,69.6,
GA-085,Dawson County,Georgia,71,125,1.9,69.1,
GA-087,Decatur County,Georgia,80,125,1.4,78.6,
