ID,Name,State,Value,
AL-001,Autauga County,Alabama,47.63,
AL-003,Baldwin County,Alabama,55.61,
AL-005,Barbour County,Alabama,44.59,
AL-007,Bibb County,Alabama,52.44,
AL-009,Blount County,Alabama,64.6,
AL-011,Bullock County,Alabama,45.23,
AL-013,Butler County,Alabama,47.28,
AL-015,Calhoun County,Alabama,57.1,
AL-017,Chambers County,Alabama,53.13,
AL-019,Cherokee County,Alabama,61.73,
AL-021,Chilton County,Alabama,47.52,
AL-023,Choctaw County,Alabama,58.43,
AL-025,Clarke County,Alabama,51.57,
AL-027,Clay County,Alabama,57.74,
AL-029,Cleburne County,Alabama,53.46,
AL-031,Coffee County,Alabama,42.85,
AL-033,Colbert County,Alabama,70.41,
AL-035,Conecuh County,Alabama,51.87,
AL-037,Coosa County,Alabama,51.98,
AL-039,Covington County,Alabama,47.43,
AL-041,Crenshaw County,Alabama,46.16,
AL-043,Cullman County,Alabama,67.49,
AL-045,Dale County,Alabama,42.92,
AL-047,Dallas County,Alabama,45.96,
AL-049,DeKalb County,Alabama,64.47,
AL-051,Elmore County,Alabama,48.01,
AL-053,Escambia County,Alabama,52.23,
AL-055,Etowah County,Alabama,65.12,
AL-057,Fayette County,Alabama,78.61,
AL-059,Franklin County,Alabama,74.89,
AL-061,Geneva County,Alabama,44.49,
AL-063,Greene County,Alabama,61.49,
AL-065,Hale County,Alabama,56.56,
AL-067,Henry County,Alabama,43.91,
AL-069,Houston County,Alabama,43.12,
AL-071,Jackson County,Alabama,65.11,
AL-073,Jefferson County,Alabama,53.12,
AL-075,Lamar County,Alabama,77.66,
AL-077,Lauderdale County,Alabama,69.67,
AL-079,Lawrence County,Alabama,69.46,
AL-081,Lee County,Alabama,50.57,
AL-083,Limestone County,Alabama,68,
AL-085,Lowndes County,Alabama,46.4,
AL-087,Macon County,Alabama,47.12,
AL-089,Madison County,Alabama,67.94,
AL-091,Marengo County,Alabama,46.36,
AL-093,Marion County,Alabama,78.21,
AL-095,Marshall County,Alabama,64.89,
AL-097,Mobile County,Alabama,61.3,
AL-099,Monroe County,Alabama,47.68,
